time msd[1][1] msd[1][2] msd[1][3] ave[1][atoms] msd[2][1] msd[2][2] msd[2][3] ave[2][atoms] 
3345 82.3161 79.0261 78.0573 79.7998 77.8101 79.0276 79.7833 78.8737 
3350 82.5441 79.2447 78.2909 80.0265 78.062 79.2785 80.0543 79.1316 
3355 82.7558 79.4703 78.5085 80.2449 78.3164 79.5368 80.3164 79.3899 
3360 82.9762 79.6827 78.7269 80.4619 78.5579 79.785 80.5794 79.6408 
3365 83.1974 79.891 78.9395 80.676 78.811 80.0248 80.8384 79.8914 
3370 83.4232 80.0979 79.1482 80.8898 79.0539 80.2676 81.0987 80.14 
3375 83.6537 80.3103 79.3671 81.1104 79.2981 80.5171 81.3554 80.3902 
3380 83.8899 80.5291 79.5776 81.3322 79.5466 80.7675 81.6215 80.6452 
3385 84.1207 80.745 79.7818 81.5491 79.7924 81.0106 81.8729 80.892 
3390 84.3592 80.9649 79.9883 81.7708 80.0331 81.2461 82.1244 81.1346 
3395 84.5864 81.1796 80.2013 81.9891 80.2821 81.4772 82.3752 81.3782 
3400 84.8197 81.4087 80.4279 82.2187 80.5296 81.7035 82.6278 81.6203 
3405 85.0553 81.6333 80.6572 82.4486 80.7739 81.9332 82.8757 81.8609 
3410 85.2894 81.8598 80.8868 82.6787 81.0158 82.1721 83.1309 82.1063 
3415 85.5277 82.0685 81.1176 82.9046 81.253 82.4154 83.3901 82.3528 
3420 85.7542 82.2905 81.3574 83.134 81.4843 82.6576 83.6438 82.5952 
3425 85.9874 82.5106 81.5912 83.3631 81.7309 82.9046 83.8951 82.8435 
3430 86.2236 82.7179 81.8253 83.5889 81.9681 83.1441 84.1539 83.0887 
3435 86.4385 82.9291 82.0574 83.8083 82.2088 83.3927 84.4244 83.342 
3440 86.671 83.1461 82.2658 84.0276 82.4523 83.6484 84.6906 83.5971 
3445 86.8889 83.3559 82.482 84.2423 82.681 83.9016 84.9397 83.8408 
3450 87.1206 83.5697 82.7015 84.4639 82.9106 84.1541 85.1944 84.0864 
3455 87.3571 83.7907 82.9134 84.6871 83.1403 84.4014 85.4408 84.3275 
3460 87.5994 84.0248 83.1327 84.9189 83.3693 84.6482 85.6913 84.5696 
3465 87.8393 84.2606 83.3508 85.1502 83.595 84.8973 85.9399 84.8107 
3470 88.0649 84.4911 83.5689 85.375 83.8191 85.149 86.2005 85.0562 
3475 88.2869 84.7146 83.7886 85.5967 84.0439 85.4072 86.455 85.3021 
3480 88.5067 84.9432 84.0014 85.8171 84.262 85.6628 86.7041 85.5429 
3485 88.7413 85.1751 84.2249 86.0471 84.4667 85.8967 86.9607 85.7747 
3490 88.9843 85.4031 84.4288 86.2721 84.671 86.1296 87.2148 86.0051 
3495 89.2385 85.6373 84.6492 86.5083 84.8874 86.3685 87.4779 86.2446 
3500 89.4858 85.8696 84.8676 86.741 85.1123 86.6204 87.7292 86.4873 
