time msd[001] ave
1190 4.02404 3.16163 
1195 4.05742 3.18571 
1200 4.09121 3.20972 
1205 4.1251 3.23376 
1210 4.15913 3.25793 
1215 4.1933 3.28211 
1220 4.2278 3.30623 
1225 4.2625 3.3303 
1230 4.29732 3.35446 
1235 4.33212 3.3787 
1240 4.3668 3.40322 
1245 4.4015 3.42779 
1250 4.43614 3.45266 
1255 4.4713 3.47746 
1260 4.50667 3.5023 
1265 4.54204 3.5273 
1270 4.5777 3.55232 
1275 4.61347 3.57737 
1280 4.64942 3.60249 
1285 4.68546 3.62768 
1290 4.72168 3.65293 
1295 4.75816 3.67821 
1300 4.79508 3.70342 
1305 4.83215 3.72873 
1310 4.86938 3.75408 
1315 4.90677 3.77952 
1320 4.94431 3.8051 
1325 4.9818 3.83085 
1330 5.01933 3.85681 
1335 5.05698 3.88275 
1340 5.09483 3.90861 
1345 5.13277 3.93454 
1350 5.17076 3.9606 
1355 5.20881 3.98679 
1360 5.2466 4.01322 
1365 5.2845 4.03974 
1370 5.32243 4.06636 
1375 5.3605 4.09307 
1380 5.39853 4.11991 
1385 5.43659 4.14687 
1390 5.47493 4.17377 
1395 5.51338 4.2006 
1400 5.55197 4.22748 
1405 5.59071 4.25438 
1410 5.62933 4.28152 
1415 5.66817 4.30871 
1420 5.707 4.33604 
1425 5.74578 4.36352 
1430 5.78465 4.3911 
1435 5.8236 4.41875 
1440 5.86278 4.44633 
1445 5.90235 4.47369 
1450 5.94214 4.50108 
1455 5.98187 4.52854 
1460 6.02192 4.55591 
1465 6.06209 4.58334 
1470 6.10245 4.61067 
1475 6.1427 4.63816 
1480 6.18301 4.66579 
1485 6.2237 4.6933 
1490 6.26463 4.72076 
1495 6.30572 4.74827 
1500 6.34706 4.77571 
1505 6.38788 4.80718 
1510 6.42873 4.83878 
1515 6.46975 4.87028 
1520 6.51089 4.90195 
1525 6.55198 4.93386 
1530 6.59324 4.9658 
1535 6.63471 4.99773 
1540 6.67611 5.02987 
1545 6.71732 5.06227 
1550 6.75886 5.09476 
1555 6.80055 5.12728 
1560 6.84283 5.15956 
1565 6.88509 5.19199 
1570 6.92745 5.22456 
1575 6.97001 5.25726 
1580 7.01253 5.29015 
1585 7.05501 5.32328 
1590 7.09767 5.35652 
1595 7.14039 5.38993 
1600 7.18315 5.42352 
1605 7.226 5.45723 
1610 7.26905 5.49109 
1615 7.31226 5.52514 
1620 7.35553 5.55937 
1625 7.39871 5.59385 
1630 7.44227 5.62838 
1635 7.48588 5.66314 
1640 7.52974 5.69792 
1645 7.57383 5.73275 
1650 7.6178 5.76776 
1655 7.66178 5.80288 
1660 7.70603 5.83802 
1665 7.75036 5.87333 
1670 7.79504 5.90868 
1675 7.84003 5.94406 
1680 7.88518 5.97951 
1685 7.93048 6.01497 
1690 7.97631 6.05022 
1695 8.02222 6.08546 
1700 8.06847 6.12053 
1705 8.11477 6.15578 
1710 8.16146 6.1909 
1715 8.20839 6.22598 
1720 8.25526 6.26121 
1725 8.30207 6.29676 
1730 8.34914 6.3324 
1735 8.3966 6.36787 
1740 8.44413 6.40337 
1745 8.49213 6.43866 
1750 8.54046 6.47392 
1755 8.58903 6.50921 
1760 8.63797 6.54444 
1765 8.68728 6.57969 
1770 8.73676 6.61498 
1775 8.78634 6.65028 
