"Opening": 001u.lammpstrj……
time msd[001] ave
1195 9.10045 9.10045 
1200 9.17617 9.17617 
1205 9.25218 9.25218 
1210 9.3285 9.3285 
1215 9.4051 9.4051 
1220 9.482 9.482 
1225 9.55919 9.55919 
1230 9.63667 9.63667 
1235 9.71443 9.71443 
1240 9.79248 9.79248 
1245 9.87083 9.87083 
1250 9.94947 9.94947 
1255 10.0284 10.0284 
1260 10.1076 10.1076 
1265 10.1872 10.1872 
1270 10.267 10.267 
1275 10.3471 10.3471 
1280 10.4276 10.4276 
1285 10.5083 10.5083 
1290 10.5894 10.5894 
1295 10.6708 10.6708 
1300 10.7526 10.7526 
1305 10.8347 10.8347 
1310 10.9171 10.9171 
1315 10.9998 10.9998 
1320 11.0829 11.0829 
1325 11.1662 11.1662 
1330 11.2498 11.2498 
1335 11.3338 11.3338 
1340 11.418 11.418 
1345 11.5025 11.5025 
1350 11.5874 11.5874 
1355 11.6725 11.6725 
1360 11.758 11.758 
1365 11.8437 11.8437 
1370 11.9297 11.9297 
1375 12.016 12.016 
1380 12.1026 12.1026 
1385 12.1895 12.1895 
1390 12.2766 12.2766 
1395 12.364 12.364 
1400 12.4517 12.4517 
1405 12.5397 12.5397 
1410 12.628 12.628 
1415 12.7166 12.7166 
1420 12.8055 12.8055 
1425 12.8946 12.8946 
1430 12.9841 12.9841 
1435 13.0739 13.0739 
1440 13.164 13.164 
1445 13.2543 13.2543 
1450 13.345 13.345 
1455 13.436 13.436 
1460 13.5273 13.5273 
1465 13.6189 13.6189 
1470 13.7108 13.7108 
1475 13.803 13.803 
1480 13.8955 13.8955 
1485 13.9882 13.9882 
1490 14.0813 14.0813 
1495 14.1747 14.1747 
1500 14.2683 14.2683 
1505 14.3651 14.3651 
1510 14.4622 14.4622 
1515 14.5597 14.5597 
1520 14.6575 14.6575 
1525 14.7556 14.7556 
1530 14.854 14.854 
1535 14.9528 14.9528 
1540 15.0519 15.0519 
1545 15.1513 15.1513 
1550 15.2511 15.2511 
1555 15.3512 15.3512 
1560 15.4516 15.4516 
1565 15.5524 15.5524 
1570 15.6536 15.6536 
1575 15.7551 15.7551 
1580 15.8569 15.8569 
1585 15.9591 15.9591 
1590 16.0617 16.0617 
1595 16.1646 16.1646 
1600 16.2679 16.2679 
1605 16.3715 16.3715 
1610 16.4755 16.4755 
1615 16.5799 16.5799 
1620 16.6845 16.6845 
1625 16.7896 16.7896 
1630 16.895 16.895 
1635 17.0008 17.0008 
1640 17.107 17.107 
1645 17.2135 17.2135 
1650 17.3203 17.3203 
1655 17.4275 17.4275 
1660 17.5351 17.5351 
1665 17.643 17.643 
1670 17.7512 17.7512 
1675 17.8598 17.8598 
1680 17.9687 17.9687 
1685 18.078 18.078 
1690 18.1875 18.1875 
1695 18.2974 18.2974 
1700 18.4076 18.4076 
1705 18.5181 18.5181 
1710 18.6289 18.6289 
1715 18.7402 18.7402 
1720 18.8517 18.8517 
1725 18.9637 18.9637 
1730 19.076 19.076 
1735 19.1886 19.1886 
1740 19.3016 19.3016 
1745 19.415 19.415 
1750 19.5287 19.5287 
1755 19.6428 19.6428 
1760 19.7572 19.7572 
1765 19.8719 19.8719 
1770 19.987 19.987 
1775 20.1024 20.1024 
1780 20.2181 20.2181 
1785 20.3341 20.3341 
1790 20.4505 20.4505 
1795 20.5671 20.5671 
1800 20.6841 20.6841 
1805 20.8013 20.8013 
1810 20.9188 20.9188 
1815 21.0367 21.0367 
1820 21.1548 21.1548 
1825 21.2732 21.2732 
1830 21.3919 21.3919 
1835 21.5108 21.5108 
1840 21.6301 21.6301 
1845 21.7498 21.7498 
1850 21.8697 21.8697 
1855 21.99 21.99 
1860 22.1106 22.1106 
1865 22.2315 22.2315 
1870 22.3528 22.3528 
1875 22.4744 22.4744 
1880 22.5963 22.5963 
1885 22.7186 22.7186 
1890 22.8412 22.8412 
1895 22.9642 22.9642 
1900 23.0875 23.0875 
1905 23.2112 23.2112 
1910 23.3352 23.3352 
1915 23.4596 23.4596 
1920 23.5843 23.5843 
1925 23.7093 23.7093 
1930 23.8347 23.8347 
1935 23.9605 23.9605 
1940 24.0866 24.0866 
1945 24.213 24.213 
1950 24.3398 24.3398 
1955 24.4669 24.4669 
1960 24.5943 24.5943 
1965 24.7221 24.7221 
1970 24.8503 24.8503 
1975 24.9788 24.9788 
1980 25.1076 25.1076 
1985 25.2367 25.2367 
1990 25.3662 25.3662 
1995 25.496 25.496 
2000 25.6261 25.6261 
2005 25.7565 25.7565 
2010 25.8873 25.8873 
2015 26.0183 26.0183 
2020 26.1497 26.1497 
2025 26.2813 26.2813 
2030 26.4133 26.4133 
2035 26.5456 26.5456 
2040 26.6783 26.6783 
2045 26.8112 26.8112 
2050 26.9445 26.9445 
2055 27.0781 27.0781 
2060 27.212 27.212 
2065 27.3463 27.3463 
2070 27.481 27.481 
2075 27.616 27.616 
2080 27.7513 27.7513 
2085 27.887 27.887 
2090 28.023 28.023 
2095 28.1593 28.1593 
2100 28.296 28.296 
2105 28.433 28.433 
2110 28.5702 28.5702 
2115 28.7078 28.7078 
2120 28.8457 28.8457 
2125 28.984 28.984 
2130 29.1226 29.1226 
2135 29.2615 29.2615 
2140 29.4006 29.4006 
2145 29.5401 29.5401 
2150 29.6798 29.6798 
2155 29.8199 29.8199 
2160 29.9603 29.9603 
2165 30.101 30.101 
2170 30.2421 30.2421 
2175 30.3834 30.3834 
2180 30.5251 30.5251 
2185 30.667 30.667 
2190 30.8093 30.8093 
2195 30.9518 30.9518 
2200 31.0947 31.0947 
2205 31.2378 31.2378 
2210 31.3812 31.3812 
2215 31.5249 31.5249 
2220 31.6689 31.6689 
2225 31.8132 31.8132 
2230 31.9578 31.9578 
2235 32.1028 32.1028 
2240 32.248 32.248 
2245 32.3936 32.3936 
2250 32.5395 32.5395 
2255 32.6857 32.6857 
2260 32.8323 32.8323 
2265 32.9791 32.9791 
2270 33.1263 33.1263 
2275 33.2737 33.2737 
2280 33.4214 33.4214 
2285 33.5695 33.5695 
2290 33.7178 33.7178 
2295 33.8663 33.8663 
2300 34.0151 34.0151 
2305 34.1642 34.1642 
2310 34.3135 34.3135 
2315 34.463 34.463 
2320 34.6129 34.6129 
2325 34.763 34.763 
2330 34.9135 34.9135 
2335 35.0643 35.0643 
2340 35.2154 35.2154 
2345 35.3667 35.3667 
2350 35.5184 35.5184 
2355 35.6704 35.6704 
2360 35.8226 35.8226 
2365 35.9751 35.9751 
2370 36.1279 36.1279 
2375 36.281 36.281 
2380 36.4343 36.4343 
2385 36.5879 36.5879 
2390 36.7419 36.7419 
2395 36.8961 36.8961 
2400 37.0508 37.0508 
2405 37.2057 37.2057 
2410 37.361 37.361 
2415 37.5166 37.5166 
2420 37.6726 37.6726 
2425 37.8288 37.8288 
2430 37.9853 37.9853 
2435 38.1422 38.1422 
2440 38.2993 38.2993 
2445 38.4567 38.4567 
2450 38.6144 38.6144 
2455 38.7724 38.7724 
2460 38.9306 38.9306 
2465 39.0892 39.0892 
2470 39.248 39.248 
2475 39.407 39.407 
2480 39.5664 39.5664 
2485 39.7261 39.7261 
2490 39.886 39.886 
2495 40.0463 40.0463 
2500 40.2068 40.2068 
2505 40.3675 40.3675 
2510 40.5286 40.5286 
2515 40.6899 40.6899 
2520 40.8515 40.8515 
2525 41.0135 41.0135 
2530 41.1757 41.1757 
2535 41.3382 41.3382 
2540 41.501 41.501 
2545 41.664 41.664 
2550 41.8273 41.8273 
2555 41.9909 41.9909 
2560 42.1548 42.1548 
2565 42.3189 42.3189 
2570 42.4833 42.4833 
2575 42.648 42.648 
2580 42.8131 42.8131 
2585 42.9784 42.9784 
2590 43.1441 43.1441 
2595 43.31 43.31 
2600 43.4763 43.4763 
2605 43.643 43.643 
2610 43.81 43.81 
2615 43.9773 43.9773 
2620 44.1449 44.1449 
2625 44.3128 44.3128 
2630 44.481 44.481 
2635 44.6494 44.6494 
2640 44.818 44.818 
2645 44.9869 44.9869 
2650 45.1561 45.1561 
2655 45.3255 45.3255 
2660 45.4952 45.4952 
2665 45.6652 45.6652 
2670 45.8354 45.8354 
2675 46.0059 46.0059 
2680 46.1768 46.1768 
2685 46.3479 46.3479 
2690 46.5192 46.5192 
2695 46.6908 46.6908 
2700 46.8625 46.8625 
2705 47.0345 47.0345 
2710 47.2066 47.2066 
2715 47.3789 47.3789 
2720 47.5515 47.5515 
2725 47.7243 47.7243 
2730 47.8973 47.8973 
2735 48.0706 48.0706 
2740 48.2441 48.2441 
2745 48.4179 48.4179 
2750 48.5919 48.5919 
2755 48.7662 48.7662 
2760 48.9408 48.9408 
2765 49.1156 49.1156 
2770 49.2908 49.2908 
2775 49.4662 49.4662 
2780 49.6419 49.6419 
2785 49.8178 49.8178 
2790 49.994 49.994 
2795 50.1704 50.1704 
2800 50.347 50.347 
2805 50.5239 50.5239 
2810 50.7009 50.7009 
2815 50.8782 50.8782 
2820 51.0557 51.0557 
2825 51.2335 51.2335 
2830 51.4115 51.4115 
2835 51.5898 51.5898 
2840 51.7683 51.7683 
2845 51.9471 51.9471 
2850 52.1261 52.1261 
2855 52.3054 52.3054 
2860 52.4849 52.4849 
2865 52.6646 52.6646 
2870 52.8446 52.8446 
2875 53.0247 53.0247 
2880 53.2051 53.2051 
2885 53.3858 53.3858 
2890 53.5667 53.5667 
2895 53.7479 53.7479 
2900 53.9294 53.9294 
2905 54.111 54.111 
2910 54.2929 54.2929 
2915 54.4751 54.4751 
2920 54.6575 54.6575 
2925 54.8402 54.8402 
2930 55.0232 55.0232 
2935 55.2065 55.2065 
2940 55.3901 55.3901 
2945 55.5739 55.5739 
2950 55.7581 55.7581 
2955 55.9426 55.9426 
2960 56.1273 56.1273 
2965 56.3121 56.3121 
2970 56.4972 56.4972 
2975 56.6826 56.6826 
2980 56.8682 56.8682 
2985 57.054 57.054 
2990 57.24 57.24 
2995 57.4261 57.4261 
3000 57.6126 57.6126 
3005 57.7992 57.7992 
3010 57.9861 57.9861 
3015 58.1732 58.1732 
3020 58.3605 58.3605 
3025 58.5481 58.5481 
3030 58.736 58.736 
3035 58.9241 58.9241 
3040 59.1125 59.1125 
3045 59.3011 59.3011 
3050 59.4901 59.4901 
3055 59.6793 59.6793 
3060 59.8688 59.8688 
3065 60.0586 60.0586 
3070 60.2487 60.2487 
3075 60.4391 60.4391 
3080 60.6298 60.6298 
