time msd[001] ave
1055 7.79235 6.63419 
1060 7.86639 6.69634 
1065 7.94103 6.75862 
1070 8.01602 6.82114 
1075 8.0911 6.88413 
1080 8.16636 6.94748 
1085 8.24205 7.01114 
1090 8.3185 7.07464 
1095 8.39504 7.13872 
1100 8.47252 7.20262 
1105 8.55025 7.26686 
1110 8.62841 7.33145 
1115 8.70679 7.39638 
1120 8.78533 7.46181 
1125 8.86397 7.52766 
1130 8.94303 7.59377 
1135 9.02219 7.66034 
1140 9.10174 7.72703 
1145 9.18142 7.79426 
1150 9.26126 7.86194 
1155 9.3415 7.92992 
1160 9.42175 7.99841 
1165 9.50273 8.06686 
1170 9.58417 8.13532 
1175 9.66592 8.20398 
1180 9.74803 8.27278 
1185 9.83038 8.34198 
1190 9.91322 8.41141 
1195 9.99643 8.48104 
1200 10.0805 8.55046 
1205 10.1652 8.61996 
1210 10.2503 8.6897 
1215 10.3359 8.75945 
1220 10.4226 8.829 
1225 10.5098 8.89859 
1230 10.5973 8.9685 
1235 10.6852 9.03869 
1240 10.7729 9.10954 
1245 10.8605 9.18084 
1250 10.9482 9.2527 
1255 11.0366 9.32454 
1260 11.1256 9.39652 
1265 11.2146 9.46893 
1270 11.3039 9.54162 
1275 11.3939 9.61453 
1280 11.4844 9.68773 
1285 11.5752 9.76134 
1290 11.6666 9.83531 
1295 11.7585 9.9096 
1300 11.8511 9.98389 
1305 11.9439 10.0586 
1310 12.0372 10.1336 
1315 12.1307 10.2091 
1320 12.2248 10.285 
1325 12.319 10.3612 
1330 12.4133 10.438 
1335 12.5079 10.5149 
1340 12.6031 10.5919 
1345 12.6987 10.6691 
1350 12.7947 10.7466 
1355 12.8907 10.8246 
1360 12.9864 10.9034 
1365 13.0824 10.9824 
1370 13.1788 11.0617 
1375 13.2756 11.1413 
1380 13.3723 11.2215 
1385 13.469 11.302 
1390 13.5663 11.3828 
1395 13.6639 11.4638 
1400 13.7618 11.545 
1405 13.8607 11.626 
1410 13.9596 11.7076 
1415 14.059 11.7891 
1420 14.1586 11.8712 
1425 14.2583 11.9539 
1430 14.3583 12.0369 
1435 14.4586 12.1202 
1440 14.5592 12.2038 
1445 14.661 12.2869 
1450 14.7633 12.3701 
1455 14.8659 12.4536 
1460 14.969 12.5373 
1465 15.0722 12.6212 
1470 15.1762 12.705 
1475 15.2802 12.7892 
1480 15.3845 12.8736 
1485 15.4898 12.9579 
1490 15.5957 13.0422 
1495 15.7019 13.1267 
1500 15.8089 13.2112 
1505 15.914 13.3017 
1510 16.0193 13.3925 
1515 16.1248 13.4834 
1520 16.2303 13.5749 
1525 16.3357 13.6671 
1530 16.4412 13.7598 
1535 16.547 13.8525 
1540 16.6526 13.946 
1545 16.7579 14.0402 
1550 16.8637 14.1347 
1555 16.9703 14.2295 
1560 17.0779 14.3242 
1565 17.1855 14.4193 
1570 17.2931 14.5151 
1575 17.4011 14.6113 
1580 17.5089 14.7083 
1585 17.6165 14.8059 
1590 17.725 14.9036 
1595 17.8337 15.0018 
1600 17.9425 15.1006 
1605 18.0517 15.1996 
1610 18.1613 15.2991 
1615 18.2708 15.3992 
1620 18.3802 15.5 
1625 18.4892 15.6017 
1630 18.599 15.7036 
1635 18.709 15.8061 
1640 18.8193 15.909 
1645 18.9299 16.0125 
1650 19.0403 16.1166 
1655 19.1511 16.221 
1660 19.2626 16.3255 
1665 19.3742 16.4305 
1670 19.4864 16.5357 
1675 19.5987 16.6414 
1680 19.7113 16.7474 
1685 19.8242 16.8536 
1690 19.938 16.9596 
1695 20.0521 17.0659 
1700 20.1672 17.1719 
1705 20.2821 17.2788 
1710 20.3978 17.3856 
1715 20.5142 17.4926 
1720 20.6306 17.6002 
1725 20.7469 17.7085 
1730 20.8637 17.8171 
1735 20.9816 17.9254 
1740 21.0997 18.034 
1745 21.2193 18.1423 
1750 21.3394 18.2508 
1755 21.4601 18.3593 
1760 21.5817 18.4678 
1765 21.7043 18.576 
1770 21.8277 18.6842 
1775 21.9518 18.7923 
1780 22.0763 18.9008 
1785 22.2015 19.0092 
1790 22.3264 19.1182 
1795 22.4515 19.2276 
1800 22.5766 19.3376 
1805 22.7027 19.4474 
1810 22.8295 19.5568 
1815 22.9568 19.6665 
1820 23.0851 19.776 
1825 23.2132 19.8862 
1830 23.3415 19.9965 
1835 23.4696 20.1075 
1840 23.5974 20.2193 
1845 23.7258 20.3312 
1850 23.8542 20.4435 
1855 23.9833 20.5561 
1860 24.1125 20.6692 
1865 24.2413 20.7832 
1870 24.3706 20.8975 
1875 24.5002 21.0121 
1880 24.6301 21.1268 
1885 24.7609 21.2416 
1890 24.8913 21.3574 
1895 25.0221 21.4737 
1900 25.154 21.5897 
1905 25.2856 21.7065 
1910 25.4167 21.8244 
1915 25.5471 21.9433 
1920 25.678 22.0621 
1925 25.8086 22.1816 
1930 25.94 22.3011 
1935 26.0728 22.4202 
1940 26.2061 22.5396 
1945 26.3393 22.6596 
1950 26.4727 22.7802 
1955 26.6061 22.9012 
1960 26.7394 23.0229 
1965 26.873 23.1448 
1970 27.0075 23.2669 
1975 27.1427 23.3889 
1980 27.2789 23.5107 
1985 27.4144 23.6338 
1990 27.5493 23.7576 
1995 27.6845 23.8816 
2000 27.821 24.0052 
2005 27.9571 24.1295 
2010 28.0935 24.2541 
2015 28.2302 24.3789 
2020 28.3678 24.5037 
2025 28.5066 24.6281 
2030 28.6458 24.7527 
2035 28.7858 24.8773 
2040 28.9271 25.0015 
2045 29.0683 25.1263 
2050 29.2102 25.2513 
2055 29.3522 25.3768 
2060 29.4953 25.5019 
2065 29.639 25.6273 
2070 29.7833 25.7528 
2075 29.9279 25.879 
2080 30.0732 26.005 
2085 30.2189 26.1311 
2090 30.3648 26.2575 
2095 30.511 26.384 
2100 30.6572 26.5111 
2105 30.8036 26.6385 
2110 30.9511 26.7655 
2115 31.1002 26.8917 
2120 31.2493 27.0188 
2125 31.3986 27.1461 
2130 31.5481 27.2739 
