Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Re[Fave][P000]	Re[F001][P000]	Re[F002][P000]	Re[F003][P000]	
aot	0 	0 	0 	0 	
11000	7.57881 	7.57881 	7.57881 	7.57881 	
11100	7.50528 	7.50528 	7.50528 	7.50528 	
11200	7.33592 	7.33592 	7.33592 	7.33592 	
11300	6.9489 	6.9489 	6.9489 	6.9489 	
11400	6.81866 	6.81866 	6.81866 	6.81866 	
11500	7.02412 	7.02412 	7.02412 	7.02412 	
11600	7.45427 	7.45427 	7.45427 	7.45427 	
11700	6.90938 	6.90938 	6.90938 	6.90938 	
11800	6.62882 	6.62882 	6.62882 	6.62882 	
11900	5.9343 	5.9343 	5.9343 	5.9343 	
12000	5.44724 	5.44724 	5.44724 	5.44724 	
12100	5.46512 	5.46512 	5.46512 	5.46512 	
12200	5.16348 	5.16348 	5.16348 	5.16348 	
12300	5.17537 	5.17537 	5.17537 	5.17537 	
12400	4.95662 	4.95662 	4.95662 	4.95662 	
12500	4.72378 	4.72378 	4.72378 	4.72378 	
12600	3.9384 	3.9384 	3.9384 	3.9384 	
12700	3.65481 	3.65481 	3.65481 	3.65481 	
12800	3.7559 	3.7559 	3.7559 	3.7559 	
12900	3.29784 	3.29784 	3.29784 	3.29784 	
13000	2.91505 	2.91505 	2.91505 	2.91505 	
13100	2.44872 	2.44872 	2.44872 	2.44872 	
13200	1.9945 	1.9945 	1.9945 	1.9945 	
13300	2.00909 	2.00909 	2.00909 	2.00909 	
13400	2.09962 	2.09962 	2.09962 	2.09962 	
13500	1.98259 	1.98259 	1.98259 	1.98259 	
13600	2.22879 	2.22879 	2.22879 	2.22879 	
13700	1.87857 	1.87857 	1.87857 	1.87857 	
13800	2.53193 	2.53193 	2.53193 	2.53193 	
13900	3.53923 	3.53923 	3.53923 	3.53923 	
14000	4.13712 	4.13712 	4.13712 	4.13712 	
