Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Ang[Fave][P000]	Ang[F001][P000]	Ang[F002][P000]	Ang[F003][P000]	
aot	0 	0 	0 	0 	
9700	-15.7272 	-15.7272 	-15.7272 	-15.7272 	
9800	-17.2554 	-17.2554 	-17.2554 	-17.2554 	
9900	-16.2164 	-16.2164 	-16.2164 	-16.2164 	
10000	-15.1641 	-15.1641 	-15.1641 	-15.1641 	
10100	-13.9373 	-13.9373 	-13.9373 	-13.9373 	
10200	-11.9307 	-11.9307 	-11.9307 	-11.9307 	
10300	-11.4158 	-11.4158 	-11.4158 	-11.4158 	
10400	-12.9814 	-12.9814 	-12.9814 	-12.9814 	
10500	-12.8139 	-12.8139 	-12.8139 	-12.8139 	
10600	-12.9579 	-12.9579 	-12.9579 	-12.9579 	
10700	-14.0375 	-14.0375 	-14.0375 	-14.0375 	
10800	-11.0485 	-11.0485 	-11.0485 	-11.0485 	
10900	-12.2692 	-12.2692 	-12.2692 	-12.2692 	
11000	-13.6901 	-13.6901 	-13.6901 	-13.6901 	
11100	-13.6558 	-13.6558 	-13.6558 	-13.6558 	
11200	-12.3848 	-12.3848 	-12.3848 	-12.3848 	
11300	-12.6554 	-12.6554 	-12.6554 	-12.6554 	
11400	-12.1238 	-12.1238 	-12.1238 	-12.1238 	
11500	-9.95002 	-9.95002 	-9.95002 	-9.95002 	
11600	-9.1651 	-9.1651 	-9.1651 	-9.1651 	
11700	-11.1802 	-11.1802 	-11.1802 	-11.1802 	
11800	-10.6203 	-10.6203 	-10.6203 	-10.6203 	
11900	-10.5514 	-10.5514 	-10.5514 	-10.5514 	
12000	-11.1593 	-11.1593 	-11.1593 	-11.1593 	
12100	-9.8533 	-9.8533 	-9.8533 	-9.8533 	
12200	-12.5985 	-12.5985 	-12.5985 	-12.5985 	
12300	-11.5797 	-11.5797 	-11.5797 	-11.5797 	
12400	-11.2785 	-11.2785 	-11.2785 	-11.2785 	
12500	-11.7557 	-11.7557 	-11.7557 	-11.7557 	
12600	-11.4298 	-11.4298 	-11.4298 	-11.4298 	
12700	-10.1851 	-10.1851 	-10.1851 	-10.1851 	
12800	-10.4581 	-10.4581 	-10.4581 	-10.4581 	
12900	-9.67816 	-9.67816 	-9.67816 	-9.67816 	
13000	-10.3906 	-10.3906 	-10.3906 	-10.3906 	
13100	-12.9457 	-12.9457 	-12.9457 	-12.9457 	
13200	-12.5964 	-12.5964 	-12.5964 	-12.5964 	
13300	-11.1555 	-11.1555 	-11.1555 	-11.1555 	
13400	-11.5617 	-11.5617 	-11.5617 	-11.5617 	
13500	-10.065 	-10.065 	-10.065 	-10.065 	
13600	-7.39239 	-7.39239 	-7.39239 	-7.39239 	
13700	-12.0476 	-12.0476 	-12.0476 	-12.0476 	
13800	-10.5985 	-10.5985 	-10.5985 	-10.5985 	
13900	-9.44728 	-9.44728 	-9.44728 	-9.44728 	
14000	-7.06197 	-7.06197 	-7.06197 	-7.06197 	
14100	-6.4502 	-6.4502 	-6.4502 	-6.4502 	
14200	-6.18047 	-6.18047 	-6.18047 	-6.18047 	
14300	-6.74687 	-6.74687 	-6.74687 	-6.74687 	
14400	-6.87753 	-6.87753 	-6.87753 	-6.87753 	
14500	-6.28509 	-6.28509 	-6.28509 	-6.28509 	
14600	-7.32323 	-7.32323 	-7.32323 	-7.32323 	
14700	-8.4256 	-8.4256 	-8.4256 	-8.4256 	
14800	-8.64247 	-8.64247 	-8.64247 	-8.64247 	
14900	-8.59948 	-8.59948 	-8.59948 	-8.59948 	
15000	-7.90945 	-7.90945 	-7.90945 	-7.90945 	
15100	-7.91622 	-7.91622 	-7.91622 	-7.91622 	
15200	-5.7747 	-5.7747 	-5.7747 	-5.7747 	
15300	-6.20192 	-6.20192 	-6.20192 	-6.20192 	
15400	-7.70822 	-7.70822 	-7.70822 	-7.70822 	
15500	-6.29664 	-6.29664 	-6.29664 	-6.29664 	
15600	-7.03647 	-7.03647 	-7.03647 	-7.03647 	
15700	-3.75002 	-3.75002 	-3.75002 	-3.75002 	
15800	-1.91533 	-1.91533 	-1.91533 	-1.91533 	
15900	-2.22526 	-2.22526 	-2.22526 	-2.22526 	
16000	-4.96902 	-4.96902 	-4.96902 	-4.96902 	
16100	-3.56242 	-3.56242 	-3.56242 	-3.56242 	
16200	-1.91318 	-1.91318 	-1.91318 	-1.91318 	
16300	-3.14344 	-3.14344 	-3.14344 	-3.14344 	
16400	-3.32962 	-3.32962 	-3.32962 	-3.32962 	
16500	-3.46339 	-3.46339 	-3.46339 	-3.46339 	
